op,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,u_uid,r_rid
read,1,80755,23200,119134,119171,118483,120560,153195,117887,118196,163,79
read,1,15064,13764,117961,118300,120663,120348,230830,120518,130858,164,80
read,1,34832,35976,117961,121013,118810,120765,125083,19793,118961,165,4
read,1,39333,82362,117961,118300,118631,118636,118785,290919,118639,166,75
read,1,20897,23610,117961,118300,118042,118043,223125,270488,118046,167,26
read,1,38972,30531,125714,118026,123472,118278,252973,290919,118322,168,68
read,1,23969,78685,117961,118446,123472,118321,117906,290919,118322,169,81
read,1,1020,17913,117961,118225,118403,117905,117906,290919,117908,170,46
read,1,75834,6800,91261,118026,117884,118321,117906,290919,118322,172,22
read,1,73144,25547,118212,118327,117878,174391,240983,290919,117908,173,52
read,1,78850,16808,119170,119171,19772,159677,127477,118295,184276,174,47
read,1,32270,58407,118212,118213,118970,118568,236793,290919,118914,175,8
read,1,59370,1755,118990,118257,117920,118259,123649,118638,119851,176,83
read,1,20299,16850,117961,118225,117920,117885,117906,118424,117908,177,2
read,1,1020,46704,117961,118225,120671,117905,240983,290919,117908,179,46
read,0,711,221,117961,118343,118391,118784,125889,290919,118786,180,84
read,1,40960,70322,119170,119091,124942,118028,125779,117887,118914,181,85
read,1,74754,241746,117961,117962,118575,134095,240983,290919,117880,182,1
read,1,23096,8251,118887,118300,118631,118422,131694,117887,118982,183,27
read,0,4675,15416,117961,118300,118202,118321,117906,290919,118322,184,23
read,1,1020,1350,117961,118225,118673,123082,117906,117887,119951,186,46
read,1,3853,49975,117961,118225,120671,123670,240983,119695,117908,187,35
read,1,23921,70530,117961,118225,118518,120773,223125,270488,120519,188,32
read,1,3853,78268,117961,118300,119824,122129,146210,118704,122131,189,35
read,1,79092,97000,117961,118225,120694,117905,117906,290919,117908,190,24
read,1,38972,3151,118106,117936,117920,117899,124402,19721,117900,191,68
read,1,14570,82626,117961,118300,118783,118321,117906,290919,118322,192,18
read,1,6977,30385,117961,118327,118810,118685,279443,308574,118687,193,30
read,1,19998,56052,117961,118300,118810,118321,117906,290919,118322,194,3
read,1,39883,2569,118315,119921,118921,280788,269034,118453,153249,195,87
read,1,80498,121004,118212,118300,118833,120357,310610,118453,119851,196,88
read,1,4675,30531,117961,118300,117941,118321,117906,290919,118322,197,23
read,1,36480,122254,117961,118225,118518,118043,310016,120518,118046,198,89
read,1,25993,70130,118212,118213,117878,117905,242737,4673,119348,199,55
read,1,44262,43884,119062,119171,121108,118028,127477,118295,120346,200,90
read,1,40867,100835,117961,118225,120671,117905,261540,117887,118454,201,43
read,1,3853,56774,117961,118225,118403,117905,117906,4673,135811,202,35
read,1,80505,8115,117961,118178,124211,118451,120716,19721,119951,203,91
read,1,75834,61960,117961,118300,117941,118321,117906,19721,118322,204,22
read,1,33147,60794,118169,118753,118754,208126,128802,118424,118943,205,6
read,0,94012,46541,117961,118052,123173,119782,282594,118467,118899,206,92
read,1,20292,94615,117961,118574,131303,118129,194065,118453,129911,207,66
read,1,33147,7284,117961,118300,124380,120647,123413,118398,120954,209,6
read,1,36480,2803,117961,118327,119223,120516,306530,270488,120519,210,89
read,1,39333,28008,117961,118300,119181,118636,240983,118424,118639,211,75
read,1,14570,311696,118349,117936,117878,120690,118568,19721,126295,212,18
read,1,20897,138476,117961,118327,119830,120903,118959,118960,120774,214,26
read,1,42093,20681,117961,118300,118631,135123,134068,118398,118892,215,41
read,1,42093,5652,91261,117962,119598,119409,133686,118960,121145,216,41
read,1,73144,50613,117961,118300,118631,299559,254394,118424,118982,217,52
read,1,39333,3053,117961,118300,119181,122967,131694,118398,118644,218,75
read,1,73144,51235,117961,118300,119181,152268,149917,117887,118055,219,52
read,1,20299,46909,118212,118225,118403,128230,117906,4673,117908,220,2
read,1,15064,2074,117961,127045,118552,120647,190841,308574,118687,221,80
read,1,32270,52855,118212,118213,121014,123651,121350,118960,136117,222,8
read,1,971,3464,117961,118300,131868,118321,215738,290919,118322,223,73
read,1,4675,65734,117961,118225,123279,123045,237731,117887,118055,224,23
read,1,75834,46655,117961,118225,118403,118702,117906,4673,117908,226,22
read,1,20279,16802,117961,117962,118221,120516,223125,120518,120519,227,95
read,1,41758,20105,117961,117962,118437,120773,159678,4673,123047,228,37
read,1,16003,6108,117961,119256,118447,120952,128948,118347,163313,229,96
read,1,20226,8698,118315,118463,123472,120527,140512,19793,119900,230,44
read,1,23969,100922,117980,117877,118810,118568,310786,290919,118322,231,81
read,1,80501,71203,117961,118225,118881,120773,183899,290919,120135,232,97
read,1,35498,2074,117961,118300,118378,120647,123720,118398,120649,234,45
read,1,89716,2299,119170,118170,121363,122030,120991,119788,184276,235,99
read,1,42093,56018,118212,118213,145424,117905,160106,290919,117908,236,41
read,1,41439,28275,118216,119171,118575,120560,137493,118638,153959,237,100
read,1,74754,4498,117961,117962,121883,117905,183899,290919,118322,238,1
read,1,34950,13199,117961,118300,117941,118321,118448,290919,118322,240,31
read,1,37651,91398,117961,117962,119223,123737,221283,118424,118843,241,61
read,1,79092,258552,117961,118225,135245,124152,117906,118960,118803,242,24
read,0,39333,1940,117961,118300,119181,118321,117906,290919,118322,243,75
read,0,38972,71160,117961,118327,123472,125798,132547,290919,163313,244,68
read,1,32270,52160,117961,118343,119598,117905,117906,290919,117908,245,8
read,1,33147,85475,119596,119597,20807,120789,274278,117887,120791,246,6
read,1,34950,27890,117961,118225,118403,118702,125485,118704,118705,247,31
read,1,23969,30488,118315,118316,117878,117899,121873,19793,132105,248,81
read,1,42093,5703,117961,118343,119598,120516,117906,290919,122190,249,41
read,1,34924,70530,117961,118343,118518,118792,144259,118762,120519,252,29
read,1,80501,8138,117961,118300,119181,118636,240983,290919,118639,253,97
read,1,22328,4370,119170,119171,6725,118028,125711,124136,120058,255,102
read,1,27356,57659,117961,118300,119181,122274,196684,6725,120173,256,103
read,0,75834,44633,117961,118052,117941,118321,117906,290919,118322,257,22
read,1,42093,28225,118212,118225,125872,117905,117906,290919,117908,259,41
read,1,20299,49952,117961,118225,118378,119351,237596,118474,135811,260,2
read,1,42093,20899,117961,118343,118437,118536,198921,118363,118539,261,41
read,1,5695,25323,117961,118446,118609,179731,165698,118131,240105,263,104
read,1,38972,24192,122880,119281,117878,117899,121873,19793,126685,264,68
read,1,79121,122016,117961,117962,118352,118502,240983,118504,120315,265,77
read,1,17308,13199,117961,118463,118378,119192,128885,119184,117973,266,105
read,1,43207,16974,117961,118327,120559,120348,146705,118424,118803,267,106
read,1,1020,56227,118181,117903,120368,117905,269034,290919,117908,268,46
read,1,35684,32242,119170,119171,118575,118530,311057,118667,118486,269,107
read,1,35376,258552,117961,118225,118518,118054,121445,117887,118055,270,72
read,1,4675,311087,117961,118300,118783,118321,117906,290919,118322,272,23
read,1,24016,17146,117961,117903,118403,157300,226262,155173,117908,273,109
read,1,13878,3697,117961,118300,119181,126869,117906,118643,118055,274,20
read,1,17308,2210,118315,118463,123472,118278,149988,290919,117900,275,105
read,1,917,17835,117961,118300,119408,118396,133686,118398,119435,276,50
read,1,75901,23263,118752,118300,118631,119587,276422,19721,118828,277,10
read,1,42093,18900,117961,118300,119181,118054,135124,118398,118196,278,41
read,1,38972,101044,118315,118386,123472,120765,258798,290919,126295,280,68
read,1,41758,53154,117961,117962,120677,131336,158390,19793,118132,281,37
read,1,39883,14638,117961,117903,119565,122188,123676,118424,120989,284,87
read,1,74302,18449,117961,118300,118631,120632,269406,118398,118786,285,110
read,1,25393,13588,120268,118096,118800,166800,124424,118131,118836,286,111
read,1,35790,58834,117961,118300,118378,118321,117906,290919,118322,287,76
read,1,23921,61244,117961,117962,118352,120765,231754,290919,118322,288,32
read,1,34832,35976,118315,118463,119214,118685,121873,308574,118687,289,4
read,1,23969,8508,117961,119135,196823,124886,293631,290919,122991,290,81
read,1,3264,58688,117961,118225,120663,123045,117955,120518,118209,291,112
read,1,23921,58710,117961,118300,122007,124810,240983,290919,119435,292,32
read,1,79092,90018,117961,117962,117884,119351,118842,19721,117880,293,24
read,1,73756,185,117961,118300,118635,117899,118448,118398,118786,294,113
read,1,32270,152656,117961,118225,118437,117905,240983,118960,117908,295,8
read,1,6977,25612,118349,118102,117878,117899,127258,19793,118737,296,30
read,1,79092,56132,117961,118225,118403,128230,117906,4673,117908,297,24
read,1,39333,7703,118887,118300,119181,120632,163031,118638,118786,298,75
read,1,4675,21207,117961,118446,117884,118054,136888,290919,118322,299,23
read,1,25993,23666,118541,119256,117945,259173,135233,292795,118943,300,55
read,1,21376,72347,127044,117944,119995,118502,122081,118704,118813,301,114
read,1,80444,13971,119170,119171,121533,119172,153273,118295,118486,303,115
read,1,17278,6982,117961,118300,118631,118422,172635,118424,118425,304,116
read,1,79092,2074,117961,118300,120059,118451,130134,292795,118454,305,24
read,1,80864,17834,131853,118300,127849,118259,159162,118295,120303,306,117
read,1,38972,31370,118315,118327,123472,118784,121873,290919,117973,307,68
read,1,4675,49632,117961,118225,120663,120516,245058,120518,120519,308,23
read,1,18467,16959,117961,117969,123656,118536,184011,290919,126140,309,118
read,1,77178,17156,117961,118327,118391,120578,117906,290919,118322,310,63
read,1,5173,2610,117961,119597,117912,179731,121556,121069,121395,311,14
read,1,14354,15474,117916,118225,121574,122060,179631,119184,126685,312,17
read,1,37781,50952,118555,117933,118404,117879,180941,19793,118813,313,119
read,1,42093,4713,117961,118300,6725,120632,311441,6725,120649,314,41
read,1,7543,102594,117961,118446,118783,118321,117906,290919,118322,315,48
read,1,16989,2214,117961,118327,118501,118777,279443,308574,118779,316,120
read,1,42093,5110,117961,118300,118631,118321,156794,290919,118786,317,41
read,1,80522,76523,117910,118291,118599,118777,239633,118424,118926,318,121
read,1,79092,1852,117961,118327,120709,123045,118097,120518,120519,319,24
read,1,7543,104403,117961,118300,118783,118321,117906,290919,118322,320,48
read,1,33248,22373,117961,118225,123472,126264,309858,290919,159680,322,123
read,1,14570,20899,117882,118124,117884,117879,294736,19721,117880,323,18
read,1,39883,70062,117961,117962,118616,216825,117906,290919,118322,324,87
read,1,3853,19270,117961,118343,119223,123045,122554,118704,120519,325,35
read,1,42768,17686,117961,118052,118833,117905,124800,290919,126080,326,124
read,1,43877,6726,117961,118343,123472,118811,140512,19793,117908,328,125
read,1,278393,50613,117961,117962,117878,120357,153894,118504,120135,329,7
read,1,278393,18686,117961,118300,119181,117905,117906,290919,118914,332,7
read,1,79092,58963,117961,118225,120323,120575,152788,290919,119951,333,24
read,1,4675,30488,118315,118463,123472,118278,121873,290919,126295,334,23
read,0,14570,6926,117961,118413,118783,118321,117906,290919,118322,335,18
read,1,33147,8261,117961,118300,123173,118054,126079,117887,157801,336,6
read,1,42093,14716,117929,118888,120026,118980,151952,118295,118982,337,41
read,1,80501,64709,117961,118300,118631,118784,118448,290919,118786,338,97
read,1,75901,157664,117961,118300,119181,124775,117906,118424,118836,339,10
read,1,37651,20462,117961,118225,118660,118502,268766,117887,121395,340,61
read,1,14570,2109,118219,118220,117920,117899,117899,19721,117900,341,18
read,1,78591,14952,117961,118225,119181,118890,183899,118424,126087,342,13
read,1,42093,72519,118212,118213,118403,117905,131148,119095,117908,343,41
read,1,1020,64779,117961,118182,120370,127700,225335,118960,121374,344,46
read,1,15716,17973,118212,118213,118471,132692,240983,19721,126140,345,126
read,1,23459,45963,118185,118446,119019,132692,271334,290919,120954,346,127
read,1,81044,8622,117961,117962,118352,119949,244384,121620,121145,347,49
read,1,4675,2437,117961,118446,118754,118321,117906,290919,118322,348,23
read,1,4675,15611,117961,118300,127470,118054,117906,290919,120634,349,23
read,1,32270,59002,117961,118225,118008,118054,117897,117887,117880,350,8
read,0,16989,21000,117961,118225,120535,117905,260699,119095,123652,351,120
read,1,14570,2858,118219,118220,117884,118568,117897,19721,117880,353,18
read,1,32270,118039,118212,118225,118910,117905,117906,117887,117908,354,8
read,1,3853,185133,117961,118343,120370,117905,117906,290919,117908,355,35
read,1,42093,59507,117961,118413,118599,117905,117906,290919,117908,356,41
read,1,89868,27104,119170,119091,6725,247659,176829,119788,118486,357,129
read,1,27416,16802,117961,118343,118437,120516,223125,118331,118332,358,0
read,1,35376,57726,117961,118300,118783,118321,240983,290919,118322,359,72
read,1,1020,8293,118212,118213,121883,174391,240983,118453,117908,360,46
read,1,43824,60085,118169,118170,124942,117946,122849,292795,117948,361,130
read,1,75078,56625,117961,117962,147589,120575,117906,118424,117908,362,36
read,1,26971,55604,117961,120343,120096,118912,118678,118347,122991,363,131
read,1,70500,468,118169,119171,118791,118028,301124,118424,119789,364,132
read,1,39879,7344,117961,118327,118042,120516,306530,270488,118046,365,133
read,1,28149,7639,118212,117962,121710,118641,119907,121916,208567,367,134
read,1,74754,79901,117961,117962,119181,174391,127706,118424,120315,368,1
read,1,20279,3509,117961,117962,118597,157300,306530,120518,120519,369,95
read,1,74754,88656,117961,117962,117884,118568,136340,155173,146251,370,1
read,1,17308,7490,118315,118316,123472,117899,124402,308574,127848,372,105
read,1,40867,79911,118315,118463,117878,123082,149333,19793,147124,373,43
read,1,6977,80499,117961,118300,123472,118321,117906,290919,118322,374,30
read,1,78149,57165,119062,119171,121961,118028,121024,119788,159118,375,136
read,1,14354,14163,117961,118327,120299,120516,121445,270488,126186,376,17
read,1,35376,25656,117961,118225,120663,117905,117906,290919,117908,377,72
read,1,5173,51121,117961,118225,119924,118396,120238,118398,118399,378,14
read,1,40867,51342,117961,117962,118518,212192,118250,118960,132694,379,43
read,1,13878,33674,117961,118052,117884,117879,118448,290919,117880,380,20
read,1,33147,85475,118752,119070,119121,280788,193662,292795,120649,381,6
read,1,42093,57719,117961,118225,120535,117905,117906,118960,117908,382,41
read,1,23921,31851,117961,117962,118352,118530,148866,118504,123672,383,32
read,1,3130,16802,117961,118170,277693,123045,306530,120518,123047,384,137
read,1,971,22854,91261,118026,117884,118568,297560,19721,118570,385,73
read,1,23921,21171,117961,117962,120671,124435,194666,118424,120499,386,32
read,1,1020,3868,117961,118225,118684,117905,166636,118704,118914,387,46
read,1,42085,14864,117961,118225,120054,117905,117906,118643,117908,388,138
read,1,34716,96050,117961,118327,127705,120628,152627,120302,118525,389,139
read,1,38972,331,125714,118386,123472,118321,155173,290919,118786,390,68
read,1,37651,56254,117961,118300,118403,117905,117906,4673,117908,391,61
read,1,42093,2569,117961,118300,119181,118321,297560,290919,120285,392,41
read,1,3264,3768,117961,118343,123757,123045,223125,270488,117880,393,112
read,1,14854,6453,117961,117962,118501,118777,138060,121069,135125,395,140
read,1,971,95480,91261,118300,117941,118321,148772,290919,118322,396,73
read,1,27356,1334,117961,118300,118825,118568,240983,290919,118475,398,103
read,1,1020,23614,117961,118225,120671,117905,260573,4673,122275,399,46
read,1,4675,72545,117961,117903,119223,132583,122240,118643,119365,400,23
read,1,44722,13971,117961,118225,120663,209874,170384,4673,118705,401,141
read,1,4675,1775,117961,118300,119507,140847,162849,118205,119851,402,23
read,1,27356,16602,117961,118300,118631,118636,118785,118424,118639,403,103
read,1,75901,2836,117961,117903,117941,117899,118448,290919,117880,404,10
read,1,79092,93866,117961,118225,119223,120773,122158,120518,120519,406,24
read,1,79543,55556,117961,118413,118437,119778,124498,118504,149339,407,143
read,1,45497,49484,118752,119171,6725,118203,235272,117887,118705,408,144
read,1,35790,88656,117926,118300,117941,118321,117906,290919,118322,409,76
read,1,33147,85475,117893,118300,119424,118685,135898,117887,120346,410,6
read,1,28294,2974,117961,118343,119121,118321,118448,290919,118322,411,19
read,1,13878,16802,117961,118225,19772,120516,232258,118704,118332,412,20
read,1,4675,21655,117961,118052,119223,123045,130884,249618,123738,413,23
read,1,42093,32279,117961,118220,124170,124313,129305,19793,136061,415,41
read,1,25695,16842,119170,119171,123173,118293,187873,118667,118486,417,145
read,1,23921,52687,117961,117962,120356,118674,174034,118424,163732,419,32
read,1,35793,16815,117961,118225,118929,117905,240983,290919,117908,420,147
read,1,23096,5871,118212,118213,123089,118805,240983,290919,117908,421,27
read,1,42093,52160,117961,118343,118514,123737,268766,118960,123410,422,41
read,1,33233,77306,117961,117962,120096,119949,270976,290919,120285,423,148
read,1,14570,311696,118315,118463,123472,118278,121873,290919,147124,424,18
read,0,14666,59749,117961,118300,123125,187168,122106,159679,118461,425,149
read,1,79092,40936,117961,118327,118518,123045,117897,120518,123047,426,24
read,1,20299,2397,117961,118225,118403,118702,117906,4673,121596,427,2
read,1,6977,56132,117961,118225,118403,118702,132124,118704,118705,428,30
read,1,35498,23666,117961,117962,128935,118451,130134,117887,118454,429,45
read,1,35498,2145,117961,118300,127155,119849,124964,118398,118399,431,45
read,1,24016,8234,118290,118291,131868,118274,118536,118424,125408,432,109
read,1,42093,108164,117961,118225,119987,118321,118176,6725,118914,433,41
read,0,36895,50351,117961,118052,118692,118321,119907,290919,118322,434,150
read,1,4675,34461,117961,117962,118352,118321,240983,290919,118322,435,23
read,1,1020,85475,118541,118300,120943,120789,138898,117887,120634,436,46
read,1,42085,31070,117961,118225,120356,119928,150602,118424,118836,438,138
read,0,32270,16842,118212,118213,118471,117905,117906,290919,117908,439,8
read,1,18072,291410,117961,118327,119223,123045,123784,122032,123047,441,152
read,1,79092,5730,117961,118225,132530,119928,130735,118762,117908,442,24
read,0,27416,89847,117961,118300,148450,118321,117906,3130,118322,443,0
